Suburb,Towncenter,Postcode,Latitude,Longitude,Nearest,Median Price,venue count
Gowrie,Tuggeranong,2904,-35.4118165,149.1091063,1.8447409751974768,3044.7333344232666,22.0
Greenway,Tuggeranong,2900,-35.41580820000001,149.0648149,2.541442643970805,3044.7333344232666,26.0
Griffith,South Canberra,2603,-35.3253499,149.13712969999997,1.1494088749983478,16830.0,93.0
Gungahlin,Gungahlin,2912,-35.1788782,149.123653,0.0,755.0,29.0
Hackett,North Canberra,2602,-35.2495093,149.1635441,3.2647421517753323,6606.5,8.0
Harrison,Gungahlin,2914,-35.199060100000004,149.1561261,3.707349080717456,679.5,5.0
Hawker,Belconnen,2614,-35.24704439999999,149.0366967,2.2578845664779434,3044.7333344232666,8.0
Higgins,Belconnen,2615,-35.2324074,149.0272318,1.5476052272943572,689.5,17.0
Holder,Weston Creek,2611,-35.3344827,149.0461678,1.002173780299186,752.5,23.0
Holt,Belconnen,2615,-35.2243961,149.01192949999998,2.855497447646581,643.5,13.0
Hughes,Woden Valley,2605,-35.3326252,149.0949433,1.917944019107357,6505.0,32.0
Hume,Tuggeranong,2620,-35.3853817,149.1658468,7.614914004740081,3044.7333344232666,5.0
Isaacs,Woden Valley,2607,-35.3684711,149.11309880000002,2.6959337353013875,5652.5,10.0
Isabella Plains,Tuggeranong,2905,-35.4280072,149.0940088,0.7999559703593794,639.0,11.0
Jacka,Gungahlin,2914,-35.149516299999995,149.13042980000003,3.3225073551040163,3044.7333344232666,4.0
Kaleen,Belconnen,2617,-35.2277875,149.1091388,4.590837166998527,846.0,10.0
Kambah,Tuggeranong,2902,-35.386228700000004,149.0579669,4.851143106242561,699.0,12.0
Kingston,South Canberra,2604,-35.315230299999996,149.1465925,1.3908237905084602,3044.7333344232666,96.0
Latham,Belconnen,2615,-35.21639129999999,149.0316392,1.6124861621656474,682.0,17.0
Lawson,Belconnen,2617,-35.224992,149.0881795,4.0995906688084105,1171.2968653731948,14.0
Lyneham,North Canberra,2602,-35.239801,149.1307354,2.7383006075195038,1966.8193097734195,44.0
Lyons,Woden Valley,2606,-35.3405584,149.0739377,2.0967560599448327,6261.5,54.0
Macarthur,Tuggeranong,2904,-35.4051323,149.1316729,3.9928804133866156,3044.7333344232666,10.0
Macgregor,Belconnen,2615,-35.209773799999994,149.0110215,3.517380282430606,686.5,15.0
Macnamara,Belconnen,2615,-35.2186569,148.97644119999998,6.1372838455511705,3044.7333344232666,2.0
Macquarie,Belconnen,2614,-35.2511133,149.06330559999998,3.2070527848157613,1499.1000836687647,68.0
Mawson,Woden Valley,2607,-35.3633679,149.0988944,1.5651806066899716,6165.0,20.0
McKellar,Belconnen,2617,-35.2174626,149.0770321,3.2717743775476014,1471.1168821069477,10.0
Melba,Belconnen,2615,-35.2100744,149.0541275,2.172843076227397,703.5,19.0
Mitchell,Gungahlin,2911,-35.2188934,149.1363833,4.597390396310409,3044.7333344232666,9.0
Molonglo,Molonglo Valley,0,-35.299828000000005,149.0401986,0.8335467524972101,3044.7333344232666,5.0
Monash,Tuggeranong,2904,-35.415737799999995,149.0906903,0.5970946350019579,737.0,20.0
Moncrieff,Gungahlin,2914,-35.158821,149.11630569999997,2.32810909146891,699.0,4.0
Narrabundah,South Canberra,2604,-35.3356919,149.1492215,2.7117738861565988,11900.0,36.0
Ngunnawal,Gungahlin,2913,-35.1727896,149.1114681,1.2980256402834631,685.5,11.0
Nicholls,Gungahlin,2913,-35.187160600000006,149.0964814,2.6355425569476965,631.4596893369877,17.0
O'Connor,North Canberra,2602,-35.2566001,149.1155972,1.765292234173911,12800.0,36.0
O'Malley,Woden Valley,2606,-35.3513599,149.1106871,1.5182537773590292,3044.7333344232666,7.0
Oxley,Tuggeranong,2903,-35.4094421,149.07864809999998,1.7716435916634263,3044.7333344232666,37.0
Page,Belconnen,2614,-35.2385472,149.0499405,1.3812996752023745,1401.1588782024055,70.0
Palmerston,Gungahlin,2913,-35.194460600000006,149.1194145,1.7749839841686463,727.5,30.0
Parkes,South Canberra,2600,-35.2959153,149.13515569999998,2.279085398473803,3044.7333344232666,95.0
Pearce,Woden Valley,2607,-35.36217,149.08358940000002,1.6654771355711389,6105.0,40.0
Phillip,Woden Valley,2606,-35.3470436,149.091009,0.417048475643823,3044.7333344232666,36.0
Red Hill,South Canberra,2603,-35.333437599999996,149.12058580000001,2.152428834705476,11102.22157070839,28.0
Reid,North Canberra,2612,-35.282597700000004,149.1412207,2.1732010544542804,3044.7333344232666,100.0
Richardson,Tuggeranong,2905,-35.427902200000005,149.11394730000004,2.1212137034381118,1241.2548692777373,10.0
Rivett,Weston Creek,2611,-35.3470708,149.0379828,0.9793573981350668,730.0,23.0
Russell,North Canberra,2600,-35.2979599,149.15027949999998,2.6577885085047086,3044.7333344232666,60.0
Scullin,Belconnen,2614,-35.234534100000005,149.03907180000002,0.8719154400705118,1249.2500697239707,14.0
