Suburb,Towncenter,Postcode,Latitude,Longitude,Nearest
Garran,Woden Valley,2605,-35.3413973,149.1085392,1.6163447003941962
Gilmore,Tuggeranong,2905,-35.4150113,149.1382782,4.2337771542241285
Giralang,Belconnen,2617,-35.2109388,149.0959916,4.361992531819264
Gordon,Tuggeranong,2906,-35.4567263,149.0850656,4.026384199512485
Gowrie,Tuggeranong,2904,-35.4118165,149.1091063,1.8447409751974768
Greenway,Tuggeranong,2900,-35.4158082,149.0648149,2.5414426439708055
Griffith,South Canberra,2603,-35.3253499,149.1371297,1.1494088749983478
Gungahlin,Gungahlin,2912,-35.1788782,149.123653,0.0
Hackett,North Canberra,2602,-35.2495093,149.1635441,3.2647421517753323
Harrison,Gungahlin,2914,-35.1990601,149.1561261,3.7073490807174556
Hawker,Belconnen,2614,-35.2470444,149.0366967,2.257884566477943
Higgins,Belconnen,2615,-35.2324074,149.0272318,1.5476052272943572
Holder,Weston Creek,2611,-35.3344827,149.0461678,1.0021737802991861
Holt,Belconnen,2615,-35.2243961,149.0119295,2.855497447646581
Hughes,Woden Valley,2605,-35.3326252,149.0949433,1.917944019107357
Hume,Tuggeranong,2620,-35.3853817,149.1658468,7.614914004740081
Isaacs,Woden Valley,2607,-35.3684711,149.1130988,2.6959337353013875
Isabella Plains,Tuggeranong,2905,-35.4280072,149.0940088,0.7999559703593794
Jacka,Gungahlin,2914,-35.1495163,149.1304298,3.3225073551040163
Kaleen,Belconnen,2617,-35.2277875,149.1091388,4.590837166998527
Kambah,Tuggeranong,2902,-35.3862287,149.0579669,4.851143106242561
Kingston,South Canberra,2604,-35.3152303,149.1465925,1.3908237905084602
Latham,Belconnen,2615,-35.2163913,149.0316392,1.6124861621656474
Lawson,Belconnen,2617,-35.224992,149.0881795,4.0995906688084105
Lyneham,North Canberra,2602,-35.239801,149.1307354,2.738300607519504
Lyons,Woden Valley,2606,-35.3405584,149.0739377,2.096756059944833
Macarthur,Tuggeranong,2904,-35.4051323,149.1316729,3.992880413386615
Macgregor,Belconnen,2615,-35.2097738,149.0110215,3.5173802824306066
Macnamara,Belconnen,2615,-35.2186569,148.9764412,6.13728384555117
Macquarie,Belconnen,2614,-35.2511133,149.0633056,3.207052784815762
Mawson,Woden Valley,2607,-35.3633679,149.0988944,1.5651806066899716
McKellar,Belconnen,2617,-35.2174626,149.0770321,3.2717743775476014
Melba,Belconnen,2615,-35.2100744,149.0541275,2.172843076227397
Mitchell,Gungahlin,2911,-35.2188934,149.1363833,4.597390396310409
Molonglo,Molonglo Valley,0,-35.299828,149.0401986,0.8335467524972101
Monash,Tuggeranong,2904,-35.4157378,149.0906903,0.5970946350019579
Moncrieff,Gungahlin,2914,-35.158821,149.1163057,2.32810909146891
Narrabundah,South Canberra,2604,-35.3356919,149.1492215,2.711773886156599
Ngunnawal,Gungahlin,2913,-35.1727896,149.1114681,1.2980256402834633
Nicholls,Gungahlin,2913,-35.1871606,149.0964814,2.6355425569476965
O'Connor,North Canberra,2602,-35.2566001,149.1155972,1.765292234173911
O'Malley,Woden Valley,2606,-35.3513599,149.1106871,1.5182537773590292
Oxley,Tuggeranong,2903,-35.4094421,149.0786481,1.7716435916634263
Page,Belconnen,2614,-35.2385472,149.0499405,1.3812996752023745
Palmerston,Gungahlin,2913,-35.1944606,149.1194145,1.7749839841686463
