Towncenter,Suburb,Postcode,Latitude,Longitude
Woden Valley,Phillip,2606,-35.3470436,149.091009
South Canberra,Red Hill,2603,-35.3334376,149.1205858
North Canberra,Reid,2612,-35.2825977,149.1412207
Tuggeranong,Richardson,2905,-35.4279022,149.1139473
Weston Creek,Rivett,2611,-35.3470708,149.0379828
North Canberra,Russell,2600,-35.2979599,149.1502795
Belconnen,Scullin,2614,-35.2345341,149.0390718
Belconnen,Spence,2615,-35.1987316,149.0643556
Weston Creek,Stirling,2611,-35.3495843,149.0493585
Belconnen,Strathnairn,2615,-35.2323902,148.985554
Gungahlin,Taylor,2913,-35.1468038,149.1071989
Tuggeranong,Theodore,2905,-35.4496107,149.1197437
Gungahlin,Throsby,2914,-35.1889539,149.1617493
Woden Valley,Torrens,2607,-35.37195,149.0878797
North Canberra,Turner,2612,-35.2688704,149.1245771
Tuggeranong,Wanniassa,2903,-35.3976642,149.0908045
Weston Creek,Waramanga,2611,-35.3528151,149.0622152
North Canberra,Watson,2602,-35.2348235,149.1594458
Belconnen,Weetangera,2614,-35.2501136,149.049737
Weston Creek,Weston,2611,-35.3324882,149.0587356
Molonglo Valley,Whitlam,0,-35.2780956,149.0363976
Molonglo Valley,Wright,2611,-35.3192644,149.0336167
South Canberra,Yarralumla,2600,-35.3040411,149.0986347
